method,seed,query,ro,parent_r2,child_r2
BIF (hot),9049607,0,0.5312396934347875,0.0,0.0
BIF (hot),9049607,1,0.9304729262558386,0.0017005244647660162,0.572848287152742
BIF (hot),9049607,2,0.9525278241646253,0.022330921623760644,0.5078007618367718
BIF (hot),9049607,3,0.9271782470410156,0.07662904420501339,0.286858106137771
BIF (hot),9049607,4,0.956093000373373,0.07851780813605698,0.33712420978337954
BIF (hot),9049607,5,0.956093000373373,0.16314688586183534,0.306170455966109
BIF (hot),9049607,6,0.956093000373373,0.21164280770859714,0.29463056641609053
BIF (hot),9049607,7,0.956093000373373,0.25594865531404054,0.2897009786669044
BIF (hot),9049607,8,0.956093000373373,0.2660341174567112,0.33592843263143024
BIF (hot),9049607,9,0.956093000373373,0.3300101463055758,0.3331429379200498
BIF (hot),9049607,10,0.956093000373373,0.5413928283496345,0.349382108952704
BIF (hot),9049607,11,0.9343166276953241,0.5376837981038435,0.5233712193579843
BIF (hot),9049607,12,0.9343166276953241,0.5506732493527334,0.627410262651018
BIF (hot),9049607,13,0.9359810689116688,0.5601360328306003,0.6250883193778489
BIF (hot),9049607,14,0.9359810689116688,0.5633350530590617,0.6206630525304547
BIF (hot),9049607,15,0.9343166276953241,0.5643998904435802,0.6299552610055335
BIF (hot),9049607,16,0.9343166276953241,0.5664000504288835,0.5989936515342845
BIF (hot),9049607,17,0.9343166276953241,0.5594611927290836,0.6003412318677541
BIF (hot),9049607,18,0.9343166276953241,0.5514893466144117,0.6330292809065288
BIF (hot),9049607,19,0.9343166276953241,0.5516450982895695,0.6331095733185439
BIF (hot),2402697,0,0.5572185884650187,0.0,0.0
BIF (hot),2402697,1,0.9647593621889378,0.16353447606196594,0.08807311435393386
BIF (hot),2402697,2,0.8692995191632016,0.31650191963599494,0.10281093417672468
BIF (hot),2402697,3,0.9277939049626113,0.28327258407717654,0.09064780127119673
BIF (hot),2402697,4,0.9277939049626113,0.432527782722383,0.2001069139593545
BIF (hot),2402697,5,0.9277939049626113,0.40218384231600585,0.1802320586883987
BIF (hot),2402697,6,0.8950288199056391,0.49702399247403517,0.18012144288351584
BIF (hot),2402697,7,0.926554547568781,0.462906663307658,0.09562939967037323
BIF (hot),2402697,8,0.9562127116359054,0.5101465415356013,0.0843005619798039
BIF (hot),2402697,9,0.9665679521946323,0.504223791666358,0.08436000563488127
BIF (hot),2402697,10,0.9562127116359054,0.5031420103402087,0.10918030052941143
BIF (hot),2402697,11,0.9665679521946323,0.4475000987959634,0.11312447729045627
BIF (hot),2402697,12,0.9723587939655138,0.5244306780254224,0.23721017935337346
BIF (hot),2402697,13,0.9723587939655138,0.5264460576332455,0.26088200593770283
BIF (hot),2402697,14,0.9723587939655138,0.5253240249969915,0.3021330672844188
BIF (hot),2402697,15,0.9723587939655138,0.5263635696611598,0.2525389622243099
BIF (hot),2402697,16,0.9559415289799644,0.5342634820260904,0.3009218754745322
BIF (hot),2402697,17,0.9343166276953241,0.5286793812586127,0.28627792060567686
