method,seed,query,ro,parent_r2,child_r2
BIF,9049607,0,0.9478855791438945,0.0,0.0
BIF,9049607,1,0.9447593697516775,0.0,0.0
BIF,9049607,2,0.9447593697516775,0.0,0.0
BIF,9049607,3,0.9154910574255333,0.004985651268963997,0.1569872574715032
BIF,9049607,4,0.9361687513504021,0.010576418311284863,0.05989763924446538
BIF,9049607,5,0.9795492718357297,0.050773602242255085,0.04136241951714662
BIF,9049607,6,0.9795492718357297,0.024584304778114862,0.11081199545672824
BIF,9049607,7,0.9534078553729675,0.0298789368318203,0.17482260507446934
BIF,9049607,8,0.9534078553729675,0.03779379120102262,0.1799988583600195
BIF,9049607,9,0.9534078553729675,0.037916172099422586,0.1745003311138678
BIF,9049607,10,0.9534078553729675,0.0794011012531726,0.19660645071498384
BIF,9049607,11,0.9229237730528431,0.11299735412097765,0.1989979159122079
BIF,9049607,12,0.9307081261441282,0.18594545323108547,0.19740870433056837
BIF,9049607,13,0.9343244299643626,0.18077853433627883,0.29162607729098766
BIF,9049607,14,0.9307081261441282,0.19093769894167387,0.28984603881197685
BIF,9049607,15,0.9307081261441282,0.19981988146599808,0.29751644856777604
BIF,9049607,16,0.9343244299643626,0.22231628806707185,0.3929757563829718
BIF,9049607,17,0.9343244299643626,0.22772806980187468,0.42738444597671266
BIF,9049607,18,0.9343244299643626,0.23145759396278853,0.42935363784798997
BIF,9049607,19,0.9343244299643626,0.22945241030886854,0.43191254649791766
BIF,2402697,0,0.9051770022542597,0.0,0.0
BIF,2402697,1,0.9719880941331567,0.0,0.0
BIF,2402697,2,0.9234362484115665,0.0,0.0
BIF,2402697,3,0.0,0.015192493867922884,0.07997309272461745
BIF,2402697,4,0.9185872985741692,0.01655193153603009,0.17858282770953138
BIF,2402697,5,0.9632514380240661,0.01424812050348839,0.11638742862936456
BIF,2402697,6,0.976413074123836,0.01732201907823529,0.11477154415451622
BIF,2402697,7,0.8916644118771283,0.017680176980114596,0.10137799458428748
BIF,2402697,8,0.8916644118771283,0.0214145607289866,0.05334962648899461
BIF,2402697,9,0.9521114956349598,0.023098515962495233,0.04940332054968208
BIF,2402697,10,0.9521114956349598,0.0695957483787263,0.0509906690114067
BIF,2402697,11,0.9521114956349598,0.06094200087137761,0.11439048921532889
BIF,2402697,12,0.9521114956349598,0.06741277435056166,0.09137214341593464
BIF,2402697,13,0.9341956230112413,0.06880290905229906,0.14579823994386124
BIF,2402697,14,0.9341956230112413,0.07085551693499134,0.15368296416361682
BIF,2402697,15,0.9341956230112413,0.07171538634985346,0.15640472996168253
BIF,2402697,16,0.9341956230112413,0.06707469593713832,0.10706971398296088
BIF,2402697,17,0.9753185369083062,0.051645753549176096,0.08170521622805002
BIF,2402697,18,0.9753185369083062,0.016559613349254855,0.0623407568092882
BIF,2402697,19,0.9605846716296714,0.053824594492662706,0.06394969800861404
BIF,6510749,0,0.9659047771738576,0.0,0.0
BIF,6510749,1,0.955698527536431,0.0,0.0
BIF,6510749,2,0.9825632054201503,0.0,0.0
BIF,6510749,3,0.9432567073635896,0.03895864900128087,0.3573079414463549
BIF,6510749,4,0.989187934632731,0.058753666443470215,0.2819647482556703
BIF,6510749,5,0.9592283819736035,0.1755782585086667,0.3738250225115944
BIF,6510749,6,0.942438046158019,0.18360830617243687,0.47886556951674614
BIF,6510749,7,0.9892640475337071,0.11139180932204966,0.45245838716917486
BIF,6510749,8,0.9861719350657138,0.10936143300966339,0.4811966737440466
BIF,6510749,9,0.9861719350657138,0.14521111803022696,0.4172955309640583
BIF,6510749,10,0.9884843049732694,0.14577257134161448,0.521612630745762
BIF,6510749,11,0.9901185300527912,0.14168868946386862,0.5379174090907757
BIF,6510749,12,0.9901185300527912,0.1631282635880005,0.43440964518312986
BIF,6510749,13,0.9759942675913343,0.16133281094476315,0.4525965307380936
BIF,6510749,14,0.9901185300527912,0.16638060630313173,0.4481943571786272
BIF,6510749,15,0.9677084489563723,0.1495316895655162,0.4378731741407471
BIF,6510749,16,0.9949137512044695,0.14611648097099897,0.45926788666601276
BIF,6510749,17,0.9759942675913343,0.15924098570688636,0.43756220924272554
BIF,6510749,18,0.9759942675913343,0.17415583900122342,0.5003600480987845
BIF,6510749,19,0.9968837789274597,0.1772600415393783,0.48499935779906356
BIF,758529,0,0.9698603291315889,0.0,0.0
BIF,758529,1,0.9482651221534053,0.0,0.0
BIF,758529,2,0.9800603775366744,0.0,0.0
BIF,758529,3,0.9891221516447386,0.10909660848492471,0.2982776443845777
BIF,758529,4,0.8780333543135125,0.09976392829709219,0.16150308477591932
BIF,758529,5,0.8780333543135125,0.09144255328511297,0.06346740733478139
BIF,758529,6,0.994787010233945,0.10054921305978122,0.44165238401666784
BIF,758529,7,0.987670807081915,0.09789681834092995,0.3605959256762449
BIF,758529,8,0.9959004861707034,0.12761593242010277,0.297233405787565
BIF,758529,9,0.9521114956349598,0.08361208081598166,0.368635480526892
BIF,758529,10,0.8981672185555428,0.08935169930067924,0.2334708896328493
BIF,758529,11,0.8981672185555428,0.1607553620922924,0.23564625226444944
BIF,758529,12,0.942438046158019,0.15825908631131355,0.37108093843472933
BIF,758529,13,0.942438046158019,0.16587165100855966,0.5961919419284518
BIF,758529,14,0.942438046158019,0.16165092000922143,0.6060875520005675
BIF,758529,15,0.942438046158019,0.1595144365984977,0.6049477202113446
BIF,758529,16,0.942438046158019,0.16312895434755056,0.6022147745101195
BIF,758529,17,0.9903341312668322,0.19383903061874203,0.6247027981131019
BIF,758529,18,0.987670807081915,0.19292067198375876,0.3409854221725232
BIF,758529,19,0.9822635689680532,0.18018215054744302,0.3859818809336793
BIF,3523986,0,0.963437764034793,0.0,0.0
BIF,3523986,1,0.963437764034793,0.0,0.0
BIF,3523986,2,0.963437764034793,0.0,0.0
BIF,3523986,3,0.8806023067782879,0.00027413679611314434,0.18288161554286086
BIF,3523986,4,0.8806023067782879,0.0037169834373265596,0.29725090991047154
BIF,3523986,5,0.9585492090810978,0.05430188687010132,0.055994976582241444
BIF,3523986,6,0.8827125125700589,0.03747250223367484,0.1776217497902932
BIF,3523986,7,0.8778125799316021,0.024414597272927756,0.1886521373598431
BIF,3523986,8,0.9033629972742102,0.07298504526422084,0.21896956454265726
BIF,3523986,9,0.9154910574255333,0.06708999030142734,0.2084645480324899
BIF,3523986,10,0.8923484130596455,0.07203666062105744,0.20140521225742666
BIF,3523986,11,0.8923484130596455,0.07038658722403164,0.19132203355197946
BIF,3523986,12,0.8765981894490538,0.07486160602312619,0.19407666409364663
BIF,3523986,13,0.8923484130596455,0.09180014410479728,0.19683740468496963
BIF,3523986,14,0.9154910574255333,0.10859569157581746,0.197924726977218
BIF,3523986,15,0.9154910574255333,0.08835256307521969,0.2097671287674432
BIF,3523986,16,0.9462634116511972,0.01628145968314983,0.25187361459735585
BIF,3523986,17,0.9363822800127444,0.016893931564867317,0.26743286173051406
BIF,3523986,18,0.9363822800127444,0.01409638268756561,0.18664192067805724
BIF,3523986,19,0.9363822800127444,0.011120888600000932,0.2032565877844999
BIF,3224638,0,0.9701685711073799,0.0,0.0
BIF,3224638,1,0.9403612508193067,0.0,0.0
BIF,3224638,2,0.9403612508193067,0.0,0.0
BIF,3224638,3,0.8475647685051392,0.040885232519091735,0.27917067650670907
BIF,3224638,4,0.912882493275358,0.15678873010242095,0.2829551132888841
BIF,3224638,5,0.9190219497808307,0.13131530301084382,0.43747069777290537
BIF,3224638,6,0.8839833841920879,0.18738392478409177,0.40200019557102257
BIF,3224638,7,0.965763226162747,0.20126225713255005,0.4699590065141499
BIF,3224638,8,0.965763226162747,0.1000540785019245,0.47603646006233424
BIF,3224638,9,0.9673282227602478,0.11498459353962814,0.4953057038360331
BIF,3224638,10,0.9673282227602478,0.14275567025477012,0.47219956055764617
BIF,3224638,11,0.9329681468773967,0.14890095313737384,0.43773112518787427
BIF,3224638,12,0.9362276433503375,0.14401526534544365,0.312262782431995
BIF,3224638,13,0.9362276433503375,0.1387065432591873,0.29745822090234053
BIF,3224638,14,0.9362276433503375,0.13174181615573552,0.26319971909450796
BIF,3224638,15,0.9362276433503375,0.13807322607724046,0.1919317709888307
BIF,3224638,16,0.9362276433503375,0.14963708682929378,0.27784372466578205
BIF,3224638,17,0.9362276433503375,0.15149779224605406,0.2940958882695452
BIF,3224638,18,0.9362276433503375,0.1532085877513944,0.32379402842099375
BIF,3224638,19,0.9362276433503375,0.152200011085607,0.3631738665949064
BIF,9729091,0,0.9328131620525808,0.0,0.0
BIF,9729091,1,0.9328131620525808,0.0,0.0
BIF,9729091,2,0.9461525120702816,0.0,0.0
BIF,9729091,3,0.989187934632731,0.0010054267302103772,0.044718798926468524
BIF,9729091,4,0.989187934632731,0.00023917241413860287,0.023747045277250318
BIF,9729091,5,0.9610875101156782,0.031974250734749805,0.060425522596563135
BIF,9729091,6,0.989187934632731,0.03970527819749896,0.008417705369628513
BIF,9729091,7,0.989187934632731,0.07188405874589313,0.04253793885307422
